Source,Target,Weight,Effect,Strength
O_CREATED,W_Nabellen incomplete dossiers,0.2675215126916123,Promote,0.2675215126916123
W_Completeren aanvraag,W_Beoordelen fraude,-0.2632775632548043,Inhibit,0.2632775632548043
A_SUBMITTED,O_CANCELLED,0.23487703121937548,Promote,0.23487703121937548
A_DECLINED,A_PARTLYSUBMITTED,-0.22426363232572735,Inhibit,0.22426363232572735
A_ACTIVATED,A_PARTLYSUBMITTED,0.2238633578803346,Promote,0.2238633578803346
O_SELECTED,W_Nabellen incomplete dossiers,0.21662202454867815,Promote,0.21662202454867815
A_PREACCEPTED,W_Nabellen offertes,-0.21318282926642637,Inhibit,0.21318282926642637
A_FINALIZED,W_Nabellen incomplete dossiers,-0.21287945021095817,Inhibit,0.21287945021095817
O_SENT,A_FINALIZED,0.1920915937617596,Promote,0.1920915937617596
O_CREATED,W_Beoordelen fraude,-0.1846050261534825,Inhibit,0.1846050261534825
A_SUBMITTED,A_ACCEPTED,-0.18051378284768033,Inhibit,0.18051378284768033
O_CREATED,A_DECLINED,0.17808142924099493,Promote,0.17808142924099493
W_Afhandelen leads,A_DECLINED,0.17509494226775732,Promote,0.17509494226775732
O_SELECTED,O_DECLINED,-0.17448786029602212,Inhibit,0.17448786029602212
W_Afhandelen leads,O_DECLINED,0.17300360642448095,Promote,0.17300360642448095
W_Valideren aanvraag,A_PARTLYSUBMITTED,-0.17240741347344526,Inhibit,0.17240741347344526
A_SUBMITTED,A_PREACCEPTED,-0.16434292101374764,Inhibit,0.16434292101374764
W_Completeren aanvraag,A_CANCELLED,0.16313227383303047,Promote,0.16313227383303047
A_SUBMITTED,A_DECLINED,-0.16259883146305362,Inhibit,0.16259883146305362
W_Nabellen offertes,W_Nabellen incomplete dossiers,0.15740632426845508,Promote,0.15740632426845508
W_Completeren aanvraag,O_CANCELLED,0.15505698757225056,Promote,0.15505698757225056
W_Afhandelen leads,W_Nabellen offertes,-0.15347851413240715,Inhibit,0.15347851413240715
A_SUBMITTED,A_APPROVED,-0.14770398857325417,Inhibit,0.14770398857325417
O_SENT,A_PARTLYSUBMITTED,-0.14352289356542688,Inhibit,0.14352289356542688
W_Afhandelen leads,A_PARTLYSUBMITTED,0.1429185586055367,Promote,0.1429185586055367
W_Completeren aanvraag,W_Wijzigen contractgegevens,-0.1408164231284047,Inhibit,0.1408164231284047
A_ACCEPTED,O_DECLINED,0.1388109789848232,Promote,0.1388109789848232
O_CREATED,A_CANCELLED,-0.12818898044054738,Inhibit,0.12818898044054738
W_Completeren aanvraag,A_APPROVED,-0.1278854598707841,Inhibit,0.1278854598707841
A_PARTLYSUBMITTED,A_DECLINED,-0.12372500882482419,Inhibit,0.12372500882482419
W_Nabellen offertes,O_DECLINED,-0.12338646154736183,Inhibit,0.12338646154736183
A_ACCEPTED,W_Valideren aanvraag,0.12205566684156867,Promote,0.12205566684156867
A_SUBMITTED,W_Nabellen incomplete dossiers,0.12142524631776973,Promote,0.12142524631776973
A_APPROVED,A_PARTLYSUBMITTED,-0.12056704809957658,Inhibit,0.12056704809957658
A_FINALIZED,W_Beoordelen fraude,-0.12049386774360782,Inhibit,0.12049386774360782
W_Afhandelen leads,W_Valideren aanvraag,-0.11954351743029275,Inhibit,0.11954351743029275
A_REGISTERED,A_PARTLYSUBMITTED,-0.11917200699126082,Inhibit,0.11917200699126082
O_SELECTED,W_Beoordelen fraude,-0.11736878630949048,Inhibit,0.11736878630949048
A_ACCEPTED,A_DECLINED,0.11381173657843503,Promote,0.11381173657843503
A_PREACCEPTED,A_PREACCEPTED,-0.11290943071611872,Inhibit,0.11290943071611872
O_CANCELLED,A_PARTLYSUBMITTED,-0.11232970740842436,Inhibit,0.11232970740842436
A_DECLINED,O_DECLINED,0.10797119679873406,Promote,0.10797119679873406
A_PREACCEPTED,A_FINALIZED,-0.10765430420454061,Inhibit,0.10765430420454061
A_PARTLYSUBMITTED,A_PREACCEPTED,0.10619780390242632,Promote,0.10619780390242632
A_PARTLYSUBMITTED,A_CANCELLED,-0.10018040472902685,Inhibit,0.10018040472902685
W_Afhandelen leads,O_CANCELLED,-0.09980873380206004,Inhibit,0.09980873380206004
A_DECLINED,W_Nabellen incomplete dossiers,-0.09928380834484533,Inhibit,0.09928380834484533
A_ACCEPTED,W_Beoordelen fraude,-0.09698930053925152,Inhibit,0.09698930053925152
W_Afhandelen leads,A_FINALIZED,-0.09690534261113469,Inhibit,0.09690534261113469
W_Nabellen offertes,W_Valideren aanvraag,-0.09578346154417561,Inhibit,0.09578346154417561
A_FINALIZED,W_Valideren aanvraag,0.09553831338776682,Promote,0.09553831338776682
A_SUBMITTED,A_FINALIZED,-0.09225657568281442,Inhibit,0.09225657568281442
W_Completeren aanvraag,A_FINALIZED,-0.09189638623086648,Inhibit,0.09189638623086648
A_ACCEPTED,A_PREACCEPTED,-0.09022614596985772,Inhibit,0.09022614596985772
A_APPROVED,A_PREACCEPTED,0.08631182328719862,Promote,0.08631182328719862
W_Completeren aanvraag,W_Nabellen offertes,0.08561271615842135,Promote,0.08561271615842135
O_SENT_BACK,A_ACTIVATED,0.08265316156708896,Promote,0.08265316156708896
W_Completeren aanvraag,A_DECLINED,-0.08245545589536708,Inhibit,0.08245545589536708
A_ACCEPTED,A_ACTIVATED,0.08107885888208423,Promote,0.08107885888208423
O_CREATED,O_CANCELLED,0.08095435060726097,Promote,0.08095435060726097
A_ACCEPTED,O_CANCELLED,0.07938198606708508,Promote,0.07938198606708508
A_PREACCEPTED,W_Valideren aanvraag,-0.07936209682562549,Inhibit,0.07936209682562549
O_CANCELLED,W_Nabellen incomplete dossiers,0.07886947958949153,Promote,0.07886947958949153
O_SENT,W_Nabellen incomplete dossiers,-0.07823431663642212,Inhibit,0.07823431663642212
O_SELECTED,W_Nabellen offertes,0.07620816228203503,Promote,0.07620816228203503
A_PREACCEPTED,W_Beoordelen fraude,-0.07436752829030767,Inhibit,0.07436752829030767
A_PARTLYSUBMITTED,A_REGISTERED,0.0732258418696823,Promote,0.0732258418696823
O_CREATED,W_Wijzigen contractgegevens,0.07281657499105477,Promote,0.07281657499105477
A_FINALIZED,A_PARTLYSUBMITTED,-0.07186616058776031,Inhibit,0.07186616058776031
A_FINALIZED,W_Nabellen offertes,0.07109231851084057,Promote,0.07109231851084057
A_DECLINED,A_DECLINED,0.06680630309669679,Promote,0.06680630309669679
A_SUBMITTED,A_ACTIVATED,0.06615041300327812,Promote,0.06615041300327812
W_Nabellen offertes,A_CANCELLED,0.06524836573278382,Promote,0.06524836573278382
W_Nabellen offertes,W_Beoordelen fraude,-0.06404427033196367,Inhibit,0.06404427033196367
O_SENT_BACK,A_APPROVED,0.06370864631966756,Promote,0.06370864631966756
A_ACCEPTED,A_CANCELLED,0.06325502791054709,Promote,0.06325502791054709
W_Afhandelen leads,W_Wijzigen contractgegevens,-0.06201655836312864,Inhibit,0.06201655836312864
A_PARTLYSUBMITTED,O_ACCEPTED,0.06193536145181855,Promote,0.06193536145181855
A_APPROVED,W_Nabellen incomplete dossiers,-0.06027333680591122,Inhibit,0.06027333680591122
W_Nabellen offertes,A_FINALIZED,0.05882696692194308,Promote,0.05882696692194308
O_CREATED,W_Valideren aanvraag,-0.05882460301397624,Inhibit,0.05882460301397624
O_SENT_BACK,W_Nabellen incomplete dossiers,-0.05864081877973449,Inhibit,0.05864081877973449
O_CREATED,O_DECLINED,0.05862515914570291,Promote,0.05862515914570291
W_Nabellen offertes,A_ACCEPTED,0.057899727096917,Promote,0.057899727096917
A_DECLINED,A_PREACCEPTED,0.057583309108932626,Promote,0.057583309108932626
A_DECLINED,W_Valideren aanvraag,0.05741244561695521,Promote,0.05741244561695521
A_ACCEPTED,A_FINALIZED,-0.05682208536704532,Inhibit,0.05682208536704532
O_CREATED,A_ACTIVATED,-0.05678810789905054,Inhibit,0.05678810789905054
W_Nabellen offertes,O_SENT,0.05675418016159288,Promote,0.05675418016159288
O_SELECTED,A_ACCEPTED,-0.056229750328274195,Inhibit,0.056229750328274195
O_SENT,A_PREACCEPTED,0.055193932525961276,Promote,0.055193932525961276
A_PREACCEPTED,A_CANCELLED,0.0536818394532168,Promote,0.0536818394532168
O_SENT,W_Valideren aanvraag,-0.0529428267281249,Inhibit,0.0529428267281249
W_Valideren aanvraag,W_Wijzigen contractgegevens,0.051206419141783185,Promote,0.051206419141783185
W_Valideren aanvraag,W_Beoordelen fraude,-0.05055917685692672,Inhibit,0.05055917685692672
O_CREATED,A_PREACCEPTED,-0.05018350779757318,Inhibit,0.05018350779757318
W_Valideren aanvraag,A_PREACCEPTED,-0.04890240785867813,Inhibit,0.04890240785867813
A_DECLINED,O_SENT,0.04679423013392374,Promote,0.04679423013392374
