Case ID,Activity,Complete Timestamp,Resource
Case28,Require upgrade,2013-11-14 15:55:48+00:00,Value 1
Case28,Resolve ticket,2013-12-23 08:08:05+00:00,Value 1
Case29,Assign seriousness,2012-07-30 10:07:32+00:00,Value 1
Case29,Take in charge ticket,2012-07-30 10:07:40+00:00,Value 1
Case29,Resolve ticket,2012-07-30 12:29:40+00:00,Value 1
Case29,Closed,2012-09-14 10:10:38+00:00,Value 5
Case30,Assign seriousness,2011-01-21 09:47:20+00:00,Value 2
Case30,Take in charge ticket,2011-02-07 09:19:45+00:00,Value 2
Case30,Resolve ticket,2011-02-10 09:01:20+00:00,Value 2
Case30,Closed,2011-02-25 09:01:35+00:00,Value 5
Case31,Assign seriousness,2013-04-15 12:41:20+00:00,Value 4
Case31,Take in charge ticket,2013-04-18 07:06:11+00:00,Value 9
Case31,Create SW anomaly,2013-04-18 07:18:02+00:00,Value 9
Case31,Require upgrade,2013-04-18 07:18:23+00:00,Value 9
Case31,Resolve ticket,2013-05-15 13:30:39+00:00,Value 9
Case31,Closed,2013-05-30 13:31:00+00:00,Value 3
Case32,Assign seriousness,2011-04-27 07:38:44+00:00,Value 8
Case32,Take in charge ticket,2011-04-27 12:46:13+00:00,Value 8
Case32,Resolve ticket,2011-04-28 08:18:08+00:00,Value 2
Case32,Closed,2011-06-04 07:40:30+00:00,Value 5
Case33,Assign seriousness,2013-04-29 13:22:48+00:00,Value 14
Case33,Take in charge ticket,2013-05-14 14:53:46+00:00,Value 14
Case33,Resolve ticket,2013-05-15 10:19:05+00:00,Value 14
Case33,Closed,2013-05-30 10:19:20+00:00,Value 3
Case34,Assign seriousness,2013-06-11 13:56:40+00:00,Value 14
Case34,Take in charge ticket,2013-06-25 10:42:45+00:00,Value 14
Case34,Wait,2013-06-25 10:43:50+00:00,Value 14
Case34,Wait,2013-06-26 13:27:04+00:00,Value 9
Case34,Resolve ticket,2013-07-05 10:18:32+00:00,Value 9
Case34,Closed,2013-07-20 10:18:42+00:00,Value 3
Case35,Assign seriousness,2012-01-18 08:15:30+00:00,Value 1
Case35,Resolve ticket,2012-01-18 09:46:37+00:00,Value 1
Case35,Closed,2012-03-10 08:20:43+00:00,Value 5
Case36,Assign seriousness,2011-06-29 10:06:48+00:00,Value 2
Case36,Take in charge ticket,2011-06-30 12:58:23+00:00,Value 6
Case36,Resolve ticket,2011-07-05 07:32:43+00:00,Value 6
Case36,Closed,2011-07-30 10:10:20+00:00,Value 5
Case37,Assign seriousness,2011-02-10 11:13:07+00:00,Value 8
Case37,Take in charge ticket,2011-02-10 11:13:33+00:00,Value 8
Case37,Resolve ticket,2011-02-10 15:20:02+00:00,Value 9
Case37,Resolve ticket,2011-03-02 13:23:58+00:00,Value 2
Case37,Take in charge ticket,2011-03-02 13:24:07+00:00,Value 2
Case37,Wait,2011-03-02 15:27:52+00:00,Value 2
Case37,Take in charge ticket,2011-03-04 09:37:50+00:00,Value 2
Case37,Resolve ticket,2011-03-04 09:37:55+00:00,Value 2
Case37,Closed,2011-04-03 08:38:21+00:00,Value 5
Case38,Assign seriousness,2012-03-20 07:57:45+00:00,Value 4
Case38,Take in charge ticket,2012-03-20 07:58:15+00:00,Value 4
Case38,Resolve ticket,2012-03-20 08:18:56+00:00,Value 4
Case38,Closed,2012-04-21 16:00:36+00:00,Value 5
Case39,Assign seriousness,2013-08-29 11:05:59+00:00,Value 14
Case39,Take in charge ticket,2013-09-11 12:57:48+00:00,Value 2
Case39,Wait,2013-09-12 09:46:36+00:00,Value 4
Case39,Resolve ticket,2013-09-27 09:50:58+00:00,Value 4
Case39,Closed,2013-10-12 09:51:11+00:00,Value 3
Case40,Assign seriousness,2012-08-09 12:13:03+00:00,Value 4
Case40,Take in charge ticket,2012-08-09 12:13:29+00:00,Value 4
Case40,Resolve ticket,2012-08-09 12:46:00+00:00,Value 13
Case40,Closed,2012-09-12 12:20:25+00:00,Value 5
Case41,Assign seriousness,2010-12-14 10:44:26+00:00,Value 14
Case41,Take in charge ticket,2010-12-14 10:44:57+00:00,Value 14
Case41,Resolve ticket,2010-12-14 10:45:12+00:00,Value 14
Case41,Closed,2011-01-27 10:50:31+00:00,Value 5
Case42,Assign seriousness,2011-06-16 12:23:39+00:00,Value 8
Case42,Take in charge ticket,2011-06-16 12:51:05+00:00,Value 8
Case42,Resolve ticket,2011-06-16 13:39:51+00:00,Value 8
Case42,Closed,2011-07-30 12:30:33+00:00,Value 5
Case43,Assign seriousness,2012-04-10 08:56:32+00:00,Value 1
Case43,Take in charge ticket,2012-04-10 09:27:27+00:00,Value 4
Case43,Resolve ticket,2012-04-10 10:53:28+00:00,Value 4
Case43,Closed,2012-05-26 09:00:20+00:00,Value 5
Case44,Assign seriousness,2010-11-29 16:09:19+00:00,Value 2
Case44,Take in charge ticket,2010-11-29 16:19:59+00:00,Value 2
Case44,Resolve ticket,2010-11-29 16:20:51+00:00,Value 2
Case44,Closed,2010-12-31 16:10:28+00:00,Value 5
Case45,Assign seriousness,2012-01-20 14:08:14+00:00,Value 9
Case45,Take in charge ticket,2012-01-25 11:46:19+00:00,Value 9
Case45,Resolve ticket,2012-03-02 10:40:59+00:00,Value 9
Case45,Closed,2012-03-17 10:41:18+00:00,Value 5
Case46,Assign seriousness,2012-11-14 14:33:17+00:00,Value 1
Case46,Take in charge ticket,2012-11-15 13:33:28+00:00,Value 2
Case46,Take in charge ticket,2012-11-15 13:33:59+00:00,Value 12
Case46,Wait,2012-11-16 11:37:21+00:00,Value 12
Case46,Resolve ticket,2012-12-14 14:20:49+00:00,Value 12
Case46,Closed,2012-12-29 14:21:03+00:00,Value 3
Case47,Assign seriousness,2011-05-25 09:48:18+00:00,Value 8
Case47,Take in charge ticket,2011-05-25 09:48:43+00:00,Value 8
Case47,Resolve ticket,2011-05-30 15:04:34+00:00,Value 15
Case47,Closed,2011-07-01 09:50:37+00:00,Value 5
Case48,Insert ticket,2010-12-01 13:42:59+00:00,Value 12
Case48,Assign seriousness,2010-12-02 14:07:33+00:00,Value 2
Case48,Take in charge ticket,2010-12-02 14:07:41+00:00,Value 2
Case48,Resolve ticket,2010-12-02 14:08:33+00:00,Value 2
Case48,Closed,2011-01-01 14:08:51+00:00,Value 5
Case49,Assign seriousness,2011-11-25 14:33:54+00:00,Value 2
Case49,Take in charge ticket,2011-11-25 14:47:48+00:00,Value 2
Case49,Wait,2011-11-29 14:47:35+00:00,Value 2
Case49,Resolve ticket,2011-12-02 16:25:57+00:00,Value 2
Case49,Closed,2012-01-07 16:20:26+00:00,Value 5
Case50,Assign seriousness,2012-01-16 10:53:01+00:00,Value 4
Case50,Take in charge ticket,2012-01-16 10:59:51+00:00,Value 4
Case50,Resolve ticket,2012-01-16 16:37:54+00:00,Value 4
Case50,Resolve ticket,2012-01-16 16:37:55+00:00,Value 4
Case50,Closed,2012-02-16 11:00:57+00:00,Value 5
Case51,Assign seriousness,2012-06-13 13:55:36+00:00,Value 4
Case51,Take in charge ticket,2012-06-14 07:07:06+00:00,Value 4
Case51,Wait,2012-06-15 07:16:27+00:00,Value 10
Case51,Resolve ticket,2012-07-02 09:41:04+00:00,Value 10
Case51,Closed,2012-07-18 07:30:21+00:00,Value 5
Case52,Assign seriousness,2012-07-26 15:18:26+00:00,Value 13
Case52,Take in charge ticket,2012-07-26 15:18:35+00:00,Value 13
Case52,Resolve ticket,2012-07-27 10:46:28+00:00,Value 13
Case52,Closed,2012-09-12 15:20:55+00:00,Value 5
Case53,Assign seriousness,2010-10-14 13:53:13+00:00,Value 2
Case53,Take in charge ticket,2010-10-15 13:02:36+00:00,Value 14
Case53,Wait,2010-10-28 15:12:55+00:00,Value 12
Case53,Wait,2010-10-28 15:12:55+00:00,Value 12
Case53,Take in charge ticket,2010-10-29 13:42:01+00:00,Value 12
Case53,Resolve ticket,2010-11-04 08:48:12+00:00,Value 2
Case53,Closed,2010-12-04 08:48:57+00:00,Value 5
Case54,Assign seriousness,2013-11-07 08:20:59+00:00,Value 1
Case54,Take in charge ticket,2013-11-29 09:10:50+00:00,Value 2
Case54,Resolve ticket,2013-12-02 16:14:22+00:00,Value 2
Case54,Closed,2013-12-17 16:14:40+00:00,Value 3
Case55,Assign seriousness,2011-10-26 15:51:42+00:00,Value 4
Case55,Take in charge ticket,2011-10-31 15:19:03+00:00,Value 9
Case55,Wait,2011-11-07 08:44:52+00:00,Value 9
Case55,Resolve ticket,2011-11-21 08:21:23+00:00,Value 9
Case55,Closed,2011-12-06 08:21:36+00:00,Value 5
Case56,Assign seriousness,2012-01-30 11:32:58+00:00,Value 2
Case56,Resolve ticket,2012-01-30 11:33:23+00:00,Value 2
Case56,Closed,2012-03-14 11:40:25+00:00,Value 5
Case57,Assign seriousness,2010-10-29 09:39:23+00:00,Value 6
Case57,Take in charge ticket,2010-11-02 14:56:13+00:00,Value 6
Case57,Resolve ticket,2010-11-02 15:39:05+00:00,Value 6
Case57,Closed,2010-11-30 10:40:55+00:00,Value 5
Case58,Assign seriousness,2012-11-16 15:49:30+00:00,Value 1
Case58,Create SW anomaly,2012-11-16 15:49:51+00:00,Value 1
Case58,Require upgrade,2012-11-28 13:50:07+00:00,Value 2
Case58,Resolve ticket,2012-12-17 09:55:05+00:00,Value 2
Case58,Closed,2013-01-01 09:55:26+00:00,Value 3
Case59,Assign seriousness,2012-03-28 12:28:37+00:00,Value 1
Case59,Take in charge ticket,2012-03-28 12:28:47+00:00,Value 1
Case59,Resolve ticket,2012-03-28 15:32:57+00:00,Value 1
Case59,Resolve ticket,2012-03-28 15:32:57+00:00,Value 1
Case59,Closed,2012-04-28 12:30:17+00:00,Value 5
Case60,Assign seriousness,2011-04-06 15:35:49+00:00,Value 13
Case60,Take in charge ticket,2011-04-06 15:36:04+00:00,Value 13
Case60,Wait,2011-04-07 15:41:23+00:00,Value 13
Case60,Take in charge ticket,2011-04-13 08:49:14+00:00,Value 2
Case60,Resolve ticket,2011-04-13 08:49:22+00:00,Value 2
Case60,Closed,2011-05-28 08:50:26+00:00,Value 5
Case61,Assign seriousness,2011-09-16 07:04:39+00:00,Value 1
Case61,Take in charge ticket,2011-09-16 07:18:12+00:00,Value 10
Case61,Resolve ticket,2011-09-16 15:04:46+00:00,Value 10
Case61,Closed,2011-11-10 08:10:45+00:00,Value 5
Case62,Assign seriousness,2012-05-28 15:16:47+00:00,Value 4
Case62,Resolve ticket,2012-05-28 15:18:27+00:00,Value 4
Case62,Closed,2012-07-26 15:20:39+00:00,Value 5
Case63,Assign seriousness,2013-03-06 15:05:09+00:00,Value 4
Case63,Take in charge ticket,2013-03-22 08:58:01+00:00,Value 9
Case63,Resolve ticket,2013-03-22 09:34:16+00:00,Value 9
Case63,Closed,2013-04-06 08:34:35+00:00,Value 3
Case64,Assign seriousness,2011-04-14 15:54:28+00:00,Value 13
Case64,Assign seriousness,2011-04-14 15:54:46+00:00,Value 13
Case64,Wait,2011-04-15 10:41:19+00:00,Value 11
Case64,Take in charge ticket,2011-04-27 10:30:04+00:00,Value 2
Case64,Wait,2011-04-27 10:30:13+00:00,Value 2
Case64,Take in charge ticket,2011-05-06 09:42:13+00:00,Value 11
Case64,Resolve ticket,2011-05-06 09:42:28+00:00,Value 11
Case64,Closed,2011-05-21 09:42:52+00:00,Value 5
Case65,Assign seriousness,2013-02-13 13:41:45+00:00,Value 4
Case65,Take in charge ticket,2013-03-01 09:23:38+00:00,Value 2
Case65,Wait,2013-03-01 10:14:20+00:00,Value 2
Case65,Resolve ticket,2013-03-01 16:01:20+00:00,Value 2
Case65,Closed,2013-03-16 16:01:36+00:00,Value 3
Case66,Assign seriousness,2012-06-26 08:46:53+00:00,Value 2
Case66,Take in charge ticket,2012-06-26 08:47:39+00:00,Value 13
Case66,Resolve ticket,2012-06-26 13:05:58+00:00,Value 13
Case66,Closed,2012-08-24 15:42:30+00:00,Value 2
Case67,Assign seriousness,2010-12-30 15:03:15+00:00,Value 13
Case67,Take in charge ticket,2011-01-11 08:40:08+00:00,Value 2
Case67,Resolve ticket,2011-01-13 11:45:18+00:00,Value 2
Case67,Closed,2011-02-12 15:10:46+00:00,Value 5
Case68,Assign seriousness,2012-04-11 14:09:22+00:00,Value 4
Case68,Take in charge ticket,2012-04-11 14:09:45+00:00,Value 4
Case68,Resolve ticket,2012-04-12 10:31:37+00:00,Value 13
Case68,Closed,2012-05-12 14:10:23+00:00,Value 5
Case69,Assign seriousness,2013-04-05 08:30:22+00:00,Value 1
Case69,Take in charge ticket,2013-04-30 13:27:21+00:00,Value 2
Case69,Resolve ticket,2013-04-30 13:32:43+00:00,Value 9
Case69,Closed,2013-05-15 13:32:57+00:00,Value 3
Case70,Assign seriousness,2011-06-07 07:34:53+00:00,Value 8
Case70,Take in charge ticket,2011-06-07 07:35:14+00:00,Value 8
Case70,Wait,2011-07-08 08:44:58+00:00,Value 2
Case70,Resolve ticket,2011-07-12 07:00:36+00:00,Value 2
Case70,Closed,2011-07-27 07:01:03+00:00,Value 5
Case71,Assign seriousness,2011-11-02 08:20:14+00:00,Value 4
Case71,Take in charge ticket,2011-11-02 08:20:41+00:00,Value 4
Case71,Resolve ticket,2011-11-02 09:49:41+00:00,Value 4
Case71,Closed,2011-12-07 08:30:27+00:00,Value 5
Case72,Assign seriousness,2011-01-25 13:15:31+00:00,Value 8
Case72,Take in charge ticket,2011-01-25 13:15:58+00:00,Value 8
Case72,Resolve ticket,2011-02-14 11:48:42+00:00,Value 15
Case72,Closed,2011-03-01 11:48:59+00:00,Value 5
Case73,Assign seriousness,2012-07-31 11:01:15+00:00,Value 1
Case73,Resolve ticket,2012-07-31 11:02:02+00:00,Value 1
Case73,Closed,2012-09-07 11:00:40+00:00,Value 5
Case74,Resolve ticket,2012-02-10 11:42:26+00:00,Value 13
Case74,Closed,2012-04-10 09:32:49+00:00,Value 2
Case75,Assign seriousness,2010-03-11 15:15:54+00:00,Value 2
Case75,Assign seriousness,2010-04-23 07:44:51+00:00,Value 2
Case75,Take in charge ticket,2010-04-23 07:44:59+00:00,Value 2
Case75,Resolve ticket,2010-04-23 07:45:04+00:00,Value 2
Case75,Closed,2010-05-08 07:45:21+00:00,Value 5
Case76,Assign seriousness,2012-01-10 15:01:36+00:00,Value 1
Case76,Resolve ticket,2012-01-10 15:58:08+00:00,Value 1
Case76,Closed,2012-02-25 15:10:39+00:00,Value 5
Case77,Assign seriousness,2013-09-25 13:32:38+00:00,Value 14
Case77,Take in charge ticket,2013-09-25 13:33:02+00:00,Value 14
Case77,Wait,2013-09-25 14:29:45+00:00,Value 14
Case77,Resolve ticket,2013-10-21 15:09:58+00:00,Value 14
Case77,Closed,2013-11-05 16:10:14+00:00,Value 3
Case78,Assign seriousness,2011-11-08 09:18:10+00:00,Value 6
Case78,Take in charge ticket,2011-11-08 09:22:35+00:00,Value 6
Case78,Resolve ticket,2011-12-05 16:33:12+00:00,Value 6
Case78,Closed,2011-12-20 16:33:29+00:00,Value 5
Case79,Assign seriousness,2013-10-03 07:22:55+00:00,Value 14
Case79,Take in charge ticket,2013-10-04 09:08:21+00:00,Value 2
Case79,Wait,2013-10-07 13:20:44+00:00,Value 2
Case79,Wait,2013-10-09 07:36:41+00:00,Value 2
Case79,Resolve ticket,2013-11-08 09:26:35+00:00,Value 2
Case79,Closed,2013-11-23 09:26:49+00:00,Value 3
Case80,Assign seriousness,2012-08-02 09:22:58+00:00,Value 13
Case80,Take in charge ticket,2012-08-03 12:12:15+00:00,Value 13
Case80,Resolve ticket,2012-08-10 10:13:48+00:00,Value 13
Case80,Closed,2012-09-09 10:14:13+00:00,Value 5
Case81,Assign seriousness,2010-02-09 08:31:47+00:00,Value 16
Case81,Take in charge ticket,2010-02-09 08:35:12+00:00,Value 16
Case81,Wait,2010-02-09 08:35:26+00:00,Value 16
Case81,Wait,2010-02-09 08:36:27+00:00,Value 2
Case81,Take in charge ticket,2010-02-19 08:31:40+00:00,Value 11
Case81,Resolve ticket,2010-02-19 08:32:00+00:00,Value 11
Case81,Closed,2010-04-09 07:40:43+00:00,Value 5
Case82,Assign seriousness,2013-10-31 14:55:24+00:00,Value 9
Case82,Take in charge ticket,2013-10-31 15:04:25+00:00,Value 9
Case82,Wait,2013-11-05 14:35:43+00:00,Value 9
Case82,Resolve ticket,2013-11-19 16:09:52+00:00,Value 9
Case82,Closed,2013-12-04 16:10:09+00:00,Value 3
Case83,Assign seriousness,2013-07-16 14:19:52+00:00,Value 1
Case83,Take in charge ticket,2013-07-23 08:59:56+00:00,Value 1
Case83,Wait,2013-07-24 08:11:00+00:00,Value 1
Case83,Resolve ticket,2013-08-19 15:22:57+00:00,Value 1
Case83,Closed,2013-09-03 15:23:13+00:00,Value 3
Case84,Assign seriousness,2010-12-10 09:15:54+00:00,Value 14
Case84,Take in charge ticket,2010-12-10 09:16:17+00:00,Value 14
Case84,Resolve ticket,2010-12-10 09:16:34+00:00,Value 14
Case84,Closed,2011-01-12 09:20:47+00:00,Value 5
Case85,Assign seriousness,2011-02-24 17:01:50+00:00,Value 8
Case85,Take in charge ticket,2011-02-24 17:03:45+00:00,Value 8
Case85,Resolve ticket,2011-03-04 10:02:13+00:00,Value 9
Case85,Closed,2011-04-09 16:00:27+00:00,Value 5
Case86,Assign seriousness,2012-06-12 16:12:48+00:00,Value 1
Case86,Take in charge ticket,2012-06-15 07:27:33+00:00,Value 9
Case86,Wait,2012-06-15 10:00:52+00:00,Value 9
Case86,Resolve ticket,2012-06-18 09:42:02+00:00,Value 9
Case86,Closed,2012-07-14 15:40:24+00:00,Value 5
Case87,Assign seriousness,2011-11-14 14:35:55+00:00,Value 1
Case87,Take in charge ticket,2011-11-17 16:58:30+00:00,Value 9
Case87,Wait,2011-11-17 16:59:03+00:00,Value 9
Case87,Resolve ticket,2011-11-25 09:30:07+00:00,Value 9
Case87,Take in charge ticket,2011-11-28 13:50:35+00:00,Value 9
Case87,Wait,2011-11-28 13:59:00+00:00,Value 9
Case87,Resolve ticket,2011-12-07 13:41:18+00:00,Value 9
Case87,Closed,2012-01-06 16:20:25+00:00,Value 5
Case88,Assign seriousness,2010-09-24 07:57:49+00:00,Value 14
Case88,Assign seriousness,2010-09-24 13:43:51+00:00,Value 7
Case88,Wait,2010-09-24 13:44:52+00:00,Value 7
Case88,Take in charge ticket,2010-10-04 10:48:54+00:00,Value 14
Case88,Resolve ticket,2010-10-04 10:49:08+00:00,Value 14
Case88,Closed,2010-11-03 11:49:30+00:00,Value 5
Case89,Assign seriousness,2013-02-26 16:56:03+00:00,Value 1
Case89,Take in charge ticket,2013-03-13 16:41:09+00:00,Value 2
Case89,Resolve ticket,2013-03-14 15:26:52+00:00,Value 4
Case89,Closed,2013-03-29 15:27:15+00:00,Value 3
Case90,Assign seriousness,2010-03-16 07:59:03+00:00,Value 2
Case90,Take in charge ticket,2010-03-17 09:02:03+00:00,Value 12
Case90,Resolve ticket,2010-03-17 09:49:51+00:00,Value 12
Case90,Closed,2010-04-21 16:00:28+00:00,Value 5
Case91,Assign seriousness,2011-05-24 12:51:35+00:00,Value 8
Case91,Take in charge ticket,2011-05-24 12:52:07+00:00,Value 8
Case91,Resolve ticket,2011-05-24 13:36:11+00:00,Value 2
Case91,Closed,2011-07-09 13:00:36+00:00,Value 5
Case92,Assign seriousness,2010-03-09 10:09:33+00:00,Value 2
Case92,Take in charge ticket,2010-03-09 10:09:44+00:00,Value 2
Case92,Resolve ticket,2010-03-18 09:27:56+00:00,Value 2
